date,exposure_suggested,spy_ret_1d,overlay_ret_1d,overlay_equity
2022-11-29,0.7429023268,-0.0017166708,-0.0012552428,1.0595798942
2022-11-30,0.7652933969,0.0315010787,0.0234022247,1.0843764210
2022-12-01,0.7615890528,-0.0007420660,-0.0005678982,1.0837606055
2022-12-02,0.7609199511,-0.0011520737,-0.0008774067,1.0828097067
2022-12-05,0.7498436722,-0.0179910427,-0.0136897433,1.0679863197
2022-12-06,0.7343985510,-0.0144159094,-0.0108096784,1.0564417311
2022-12-07,0.7326187795,-0.0016968103,-0.0012461350,1.0551252621
2022-12-08,0.7294393984,0.0078344050,0.0057396322,1.0611812930
2022-12-09,0.7123577248,-0.0074728137,-0.0054509647,1.0553968313
2022-12-12,0.7581536100,0.0144179981,0.0102707723,1.0662365718
2022-12-13,0.7626022514,0.0075700915,0.0057392922,1.0723560151
2022-12-14,0.7628287137,-0.0063920326,-0.0048745785,1.0671287315
2022-12-15,0.7558340519,-0.0244615476,-0.0186599709,1.0472161404
2022-12-16,0.7422137251,-0.0118035594,-0.0089215321,1.0378733680
2022-12-19,0.7425100382,-0.0084814629,-0.0062950582,1.0313398947
2022-12-20,0.7536458864,0.0013650599,0.0010135707,1.0323852306
2022-12-21,0.7673813436,0.0149518273,0.0112683831,1.0440185429
2022-12-22,0.7715019174,-0.0142642763,-0.0109461395,1.0325905703
2022-12-23,0.7817782080,0.0057536028,0.0044389156,1.0371741527
2022-12-27,0.7812624355,-0.0039403799,-0.0030805031,1.0339791345
2022-12-28,0.7589728851,-0.0124276339,-0.0097092435,1.0239399792
2022-12-29,0.7808577307,0.0179971251,0.0136593299,1.0379263132
2022-12-30,0.7937597299,-0.0026331503,-0.0020561157,1.0357922166
2023-01-03,0.7756328941,-0.0042122976,-0.0033435522,1.0323289912
2023-01-04,0.7612513614,0.0077209098,0.0059885916,1.0385111880
2023-01-05,0.7517544824,-0.0114133531,-0.0086884306,1.0294881556
2023-01-06,0.7683135849,0.0229325751,0.0172396661,1.0472361877
2023-01-09,0.7819423443,-0.0005660422,-0.0004348979,1.0467807468
2023-01-10,0.7917522560,0.0070117314,0.0054827697,1.0525200046
